land_area,affected_families,compensation_percentage,legal_disputes,approval_delay_days,documentation_percentage,rr_progress,possession_percentage,stakeholder_responsiveness,delayed
100,40,90,0,5,95,90,90,90,0
150,60,80,1,10,90,80,85,85,0
200,100,65,2,25,75,60,65,70,0
250,180,50,3,40,65,45,50,55,1
300,220,40,5,60,55,35,40,45,1
350,250,35,6,75,45,30,35,40,1
120,50,85,0,8,90,85,90,90,0
180,80,70,1,20,80,70,75,75,0
280,190,45,4,50,60,40,45,50,1
400,300,30,8,90,40,25,30,35,1
130,55,88,0,5,95,90,92,92,0
220,120,60,2,30,70,55,60,65,1
170,70,78,1,15,85,75,80,80,0
320,230,42,5,65,50,30,38,42,1
90,30,95,0,3,98,95,95,95,0
